x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name
589.3557,341.38916,616.05493,462.6803,0,0.7173376,,person
251.8282,200.52686,270.76422,297.36664,0,0.652602,,person
307.71368,143.19586,327.2603,238.45221,0,0.6386697,,person
364.77463,47.328495,381.54776,120.138916,0,0.609078,,person
506.67825,284.41357,533.73145,395.03284,0,0.6025398,,person
420.4052,466.654,445.41553,577.82196,0,0.57220703,,person
363.76807,467.34326,393.44434,594.5602,0,0.57080853,,person
72.53154,364.31592,101.5356,485.41223,0,0.5697341,,person
609.62683,123.826996,631.64954,211.63474,0,0.55088145,,person
328.03687,86.730774,349.78687,180.55801,0,0.5434022,,person
387.50134,34.418823,411.7406,114.35075,0,0.5279349,,person
111.721054,305.21875,134.96884,402.0642,0,0.5107146,,person
363.79102,467.19556,393.65845,556.5053,0,0.5085369,,person
235.90503,76.83383,251.68555,167.91249,0,0.49871016,,person
509.64093,392.7005,539.8858,510.3449,0,0.48138714,,person
140.01675,319.16458,169.81662,405.51413,0,0.4590616,,person
226.65344,293.36115,248.66635,413.86566,0,0.4559571,,person
282.3561,19.582123,297.82053,104.60832,0,0.40292114,,person
577.8856,131.89127,601.9696,200.86139,0,0.39854535,,person
150.53043,323.52078,169.55173,402.5057,0,0.38989514,,person
562.6074,18.15165,581.54395,101.04697,0,0.37939504,,person
629.7516,67.25456,639.81775,109.15553,0,0.36950743,,person
429.91742,0.4479065,445.75885,44.60138,0,0.34154534,,person
580.71484,74.7914,602.397,151.34067,0,0.33916104,,person
107.16698,0.0,123.83748,43.363693,0,0.3391552,,person
0.059020042,52.14492,14.648697,100.34797,0,0.30911058,,person
397.80646,31.55825,413.51587,111.63694,0,0.28870663,,person
